x_screen,y_screen,blink_detected
1377,306,False
1373,278,False
1377,283,False
1380,283,False
1385,279,False
1386,279,False
1383,278,False
1381,277,False
1379,278,False
1378,277,False
1381,280,False
1379,278,False
1380,278,False
1375,279,False
1374,279,False
1378,279,False
1374,280,False
1374,281,False
1370,278,False
1362,281,False
1359,284,False
1349,288,False
1345,293,False
1308,314,False
1268,335,False
1227,361,False
1182,386,False
1138,415,False
1103,440,False
1067,465,False
1031,491,False
998,517,False
992,523,False
988,530,False
992,531,False
998,532,False
1005,531,False
1004,526,False
1006,522,False
1008,518,False
1011,511,False
1020,506,False
1029,496,False
1037,489,False
1041,478,False
1050,471,False
1056,463,False
1059,454,False
1068,442,False
1068,435,False
1062,427,False
1055,422,False
1047,414,False
1041,414,False
1033,411,False
1027,406,False
1019,405,False
1008,404,False
1000,402,False
998,402,False
999,399,False
1001,397,False
1001,394,False
997,391,False
998,391,False
1001,389,False
1005,391,False
1010,389,False
1012,385,False
1015,386,False
1017,388,False
1020,386,False
1025,383,False
1026,383,False
1011,380,False
965,371,False
916,359,False
863,348,False
804,340,False
744,331,False
688,320,False
629,308,False
569,303,False
523,296,False
511,294,False
500,294,False
491,298,False
487,298,False
486,296,False
477,301,False
471,302,False
468,298,False
466,300,False
460,300,False
446,299,False
430,297,False
416,297,False
393,299,False
377,295,False
355,295,False
326,294,False
292,289,False
260,285,False
235,285,False
214,283,False
192,283,False
182,278,False
168,276,False
163,276,False
165,273,False
173,272,False
186,267,False
195,267,False
204,265,False
212,263,False
221,265,False
230,266,False
238,267,False
242,270,False
243,270,False
236,271,False
236,269,False
228,274,False
223,275,False
212,275,False
205,274,False
193,274,False
186,274,False
180,275,False
171,276,False
163,276,False
164,275,False
156,276,False
155,275,False
152,275,False
153,274,False
149,273,False
146,272,False
145,271,False
138,268,False
127,263,False
119,254,False
102,251,False
87,246,False
70,242,False
57,239,False
44,238,False
34,234,False
28,237,False
28,240,False
29,243,False
41,244,False
55,246,False
68,248,False
82,247,False
98,244,False
114,242,False
131,236,False
147,233,False
162,230,False
170,225,False
180,216,False
195,209,False
208,207,False
222,202,False
236,199,False
246,196,False
254,190,False
261,186,False
268,185,False
272,183,False
284,182,False
293,174,False
299,175,False
304,171,False
313,166,False
324,159,False
339,154,False
359,146,False
375,144,False
377,136,False
389,136,False
397,129,False
406,123,False
415,120,False
424,118,False
429,114,False
431,116,False
434,112,False
440,116,False
438,111,False
440,112,False
440,116,False
441,115,False
442,117,False
440,113,False
443,110,False
442,110,False
440,104,False
442,102,False
443,102,False
446,98,False
444,97,False
444,93,False
448,94,False
446,90,False
448,86,False
451,88,False
454,87,False
456,80,False
457,84,False
457,79,False
459,85,False
455,88,False
455,94,False
453,99,False
451,99,False
444,105,False
442,111,False
443,113,False
444,121,False
446,118,False
451,114,False
456,112,False
459,110,False
464,109,False
470,106,False
475,106,False
478,101,False
483,99,False
493,100,False
502,105,False
517,105,False
530,108,False
544,108,False
556,109,False
568,113,False
582,114,False
594,111,False
595,111,False
598,108,False
594,106,False
592,104,False
590,108,False
588,112,False
587,111,False
579,111,False
577,114,False
574,111,False
568,114,False
568,115,False
568,115,False
568,110,False
566,107,False
562,105,False
566,101,False
561,98,False
566,97,False
569,97,False
568,96,False
569,95,False
604,129,False
629,140,False
642,147,False
655,149,False
670,147,False
684,143,False
698,138,False
705,133,False
705,129,False
667,90,False
649,71,False
636,58,False
625,52,False
614,49,False
604,47,False
598,46,False
614,44,False
635,41,False
661,43,False
680,42,False
710,42,False
748,46,False
786,46,False
820,47,False
858,49,False
874,52,False
901,57,False
921,55,False
946,56,False
969,60,False
980,61,False
994,64,False
1011,69,False
1027,69,False
1050,76,False
1073,83,False
1096,93,False
1110,107,False
1112,132,False
1115,158,False
1118,184,False
1115,213,False
1107,241,False
1098,270,False
1084,301,False
1072,331,False
1062,357,False
1064,370,False
1073,377,False
1082,385,False
1087,391,False
1091,397,False
1103,391,False
1118,372,False
1133,349,False
1154,324,False
1173,298,False
1189,276,False
1213,257,False
1258,238,False
1303,216,False
1347,200,False
1386,193,False
1425,188,False
1464,186,False
1507,184,False
1546,181,False
1578,175,False
1594,170,False
1612,168,False
1623,168,False
1659,174,False
1693,178,False
1728,179,False
1757,183,False
1785,185,False
1800,188,False
1800,191,False
1800,200,False
1800,202,False
1800,203,False
1800,205,False
1800,209,False
1800,213,False
1800,218,False
1800,219,False
1800,215,False
1800,209,False
1800,209,False
1800,265,True
1800,306,True
1800,320,False
1800,328,False
1800,325,False
1800,324,False
1800,329,False
1800,326,False
1800,324,False
1800,259,False
1800,216,False
1800,197,False
1800,188,False
1800,188,False
1800,192,False
1800,190,False
1800,189,False
1800,180,False
1773,175,False
1743,164,False
1711,154,False
1678,139,False
1627,120,False
1573,102,False
1522,87,False
1469,71,False
1445,64,False
1424,59,False
1403,49,False
1382,40,False
1361,32,False
1359,30,False
1347,24,False
1337,19,False
1325,20,False
1316,18,False
1304,16,False
1285,14,False
1267,20,False
1246,26,False
1225,29,False
1210,33,False
1192,35,False
1173,33,False
1159,33,False
1146,29,False
1135,31,False
1126,26,False
1118,21,False
1105,18,False
1104,15,False
1096,12,False
1094,15,False
1087,12,False
1078,16,False
1066,16,False
1053,18,False
1040,19,False
1023,19,False
1001,18,False
986,17,False
973,14,False
957,19,False
945,16,False
938,19,False
932,16,False
927,16,False
932,14,False
937,16,False
943,20,False
946,23,False
952,22,False
958,23,False
962,24,False
967,23,False
973,25,False
974,24,False
976,26,False
976,20,False
980,22,False
980,69,False
963,143,True
948,215,True
949,280,True
958,328,False
952,337,False
941,337,False
930,347,False
919,360,False
893,358,False
900,352,True
903,344,False
889,347,False
865,358,False
859,409,False
862,465,False
866,516,False
873,559,False
896,568,False
905,557,False
915,550,False
924,541,False
929,536,False
936,532,False
939,530,False
942,530,False
941,530,False
937,534,False
935,541,False
932,545,False
935,557,False
942,573,False
944,589,False
939,603,False
936,619,False
938,633,False
942,643,False
945,648,False
944,656,False
943,656,False
947,656,False
950,660,False
956,692,True
958,747,True
963,774,False
973,788,False
971,798,False
979,807,False
981,817,False
975,827,False
973,830,False
971,809,False
972,759,False
964,736,False
949,737,False
948,739,False
940,742,False
932,744,False
935,742,False
938,746,False
937,747,False
931,749,False
934,756,False
939,757,False
937,757,False
938,756,False
946,760,False
944,767,False
940,770,False
944,774,False
948,778,False
945,779,False
941,776,False
939,779,False
939,779,False
932,777,False
934,773,False
929,773,False
927,767,False
927,766,False
929,765,False
932,765,False
936,762,False
937,762,False
936,761,False
934,761,False
935,761,False
934,766,False
937,765,False
939,764,False
932,768,False
937,771,False
939,771,False
940,768,False
937,768,False
938,771,False
938,774,False
942,773,False
940,775,False
951,777,False
951,775,False
952,787,False
956,795,False
968,808,False
975,820,False
985,835,False
986,860,False
990,893,False
991,921,False
994,962,False
998,1000,False
1002,1047,False
1003,1094,False
1001,1100,False
995,1100,False
980,1100,False
974,1100,False
963,1100,False
950,1100,False
937,1100,False
925,1100,False
905,1100,False
892,1100,False
881,1100,False
880,1100,False
872,1100,False
866,1100,False
860,1100,False
853,1100,False
844,1091,False
838,1080,False
830,1069,False
821,1059,False
807,1045,False
790,1029,False
766,1007,False
749,993,False
719,969,False
697,941,False
668,914,False
639,890,False
606,863,False
576,847,False
552,833,False
537,832,False
539,840,False
552,857,False
561,873,False
584,887,False
607,904,False
636,920,False
670,932,False
700,949,False
727,953,False
737,943,False
749,935,False
756,934,False
761,931,False
771,921,False
780,918,False
791,905,False
806,894,False
815,892,False
823,886,False
832,877,False
840,867,False
850,862,False
856,862,False
865,859,False
875,865,False
877,871,False
884,865,False
892,865,False
897,872,False
898,877,False
899,877,False
902,877,False
898,879,False
891,876,False
891,874,False
889,876,False
887,885,False
882,885,False
889,885,False
885,892,False
879,890,False
881,890,False
879,902,False
874,905,False
876,910,False
876,916,False
881,914,False
875,917,False
883,910,False
884,917,False
881,920,False
892,914,False
898,918,False
904,919,False
910,911,False
911,917,False
919,923,False
922,935,False
930,942,False
938,947,False
941,954,False
942,961,False
941,973,False
942,982,False
946,992,False
955,1002,False
952,1012,False
953,1021,False
956,1066,True
961,1100,False
951,1100,False
949,1100,False
950,1100,False
944,1100,False
937,1100,False
936,1100,False
931,1100,False
921,1065,False
908,1006,False
913,964,False
894,943,False
875,922,False
872,910,False
865,894,False
859,886,False
852,879,False
846,871,False
842,864,False
839,864,False
817,858,False
791,860,False
755,850,False
714,844,False
678,828,False
642,811,False
590,784,False
534,757,False
476,727,False
451,706,False
424,681,False
399,664,False
366,645,False
335,634,False
306,631,False
297,637,False
287,647,False
282,655,False
273,661,False
268,668,False
258,676,False
265,677,False
278,682,False
285,678,False
285,674,False
284,666,False
283,664,False
291,661,False
292,662,False
307,659,False
315,659,False
310,657,False
318,656,False
320,654,False
325,650,False
330,647,False
331,641,False
343,635,False
346,631,False
345,627,False
353,621,False
352,617,False
359,612,False
369,606,False
373,602,False
381,601,False
380,601,False
374,601,False
368,601,False
353,599,False
342,596,False
333,599,False
317,602,False
304,607,False
284,608,False
279,603,False
278,596,False
278,595,False
282,595,False
284,594,False
289,591,False
298,590,False
301,587,False
309,584,False
301,595,False
345,642,False
407,709,True
468,768,True
506,817,True
514,858,False
510,872,False
516,875,False
521,875,False
522,868,False
478,826,False
410,758,False
344,698,False
302,649,False
284,605,False
280,591,False
268,583,False
254,582,False
250,583,False
241,582,False
237,580,False
246,579,False
250,580,False
259,584,False
262,583,False
275,580,False
276,578,False
285,575,False
288,578,False
292,577,False
286,578,False
291,575,False
289,569,False
307,558,False
318,554,False
341,545,False
357,534,False
378,516,False
397,505,False
418,495,False
431,483,False
454,469,False
466,460,False
474,444,False
488,435,False
496,423,False
508,415,False
517,405,False
530,394,False
542,388,False
545,383,False
541,378,False
548,379,False
547,376,False
553,377,False
557,379,False
567,381,False
575,381,False
579,380,False
580,384,False
581,390,False
576,393,False
571,395,False
567,391,False
560,386,False
548,385,False
532,384,False
521,385,False
517,385,False
514,381,False
507,381,False
505,376,False
499,383,False
497,432,False
539,509,True
575,573,True
604,629,False
