x_screen,y_screen,blink_detected
1232,708,False
1218,710,False
1209,712,False
1203,712,False
1201,701,False
1200,689,False
1198,680,False
1201,676,False
1203,669,False
1204,661,False
1212,652,False
1222,641,False
1231,626,False
1241,615,False
1250,609,False
1260,599,False
1265,586,False
1270,575,False
1269,567,False
1257,562,False
1242,554,False
1227,551,False
1209,551,False
1187,554,False
1167,555,False
1148,559,False
1127,557,False
1109,559,False
1097,555,False
1090,556,False
1083,561,False
1079,558,False
1075,555,False
1065,568,False
1052,584,False
1043,595,False
1036,604,False
1027,614,False
1022,620,False
1012,622,False
1002,626,False
995,633,False
992,624,False
990,614,False
988,611,False
981,582,False
980,562,False
974,542,False
972,521,False
969,505,False
964,496,False
977,555,True
993,631,True
1018,709,True
1025,807,True
1024,891,True
1016,951,True
1017,992,False
1007,1018,False
1008,1027,False
987,971,False
968,893,False
945,818,False
939,742,False
936,672,False
941,631,False
937,609,False
943,599,False
939,593,False
941,585,False
942,571,False
942,555,False
943,537,False
947,522,False
951,504,False
955,491,False
956,479,False
963,463,False
971,456,False
974,452,False
973,450,False
974,451,False
977,453,False
974,450,False
971,445,False
974,442,False
974,442,False
970,436,False
967,436,False
966,435,False
962,434,False
957,430,False
962,500,True
973,590,True
989,684,True
995,758,True
1001,801,False
1002,825,False
1003,833,False
1005,833,False
1006,832,False
1000,760,False
990,669,False
971,573,False
965,500,False
958,471,False
956,461,False
955,467,False
956,477,False
960,493,False
964,507,False
967,520,False
970,535,False
974,544,False
975,543,False
977,542,False
975,525,False
975,515,False
972,498,False
970,487,False
970,475,False
970,461,False
966,452,False
966,438,False
963,423,False
965,425,False
961,423,False
959,425,False
958,425,False
950,425,False
942,426,False
936,425,False
931,423,False
928,423,False
916,447,False
922,527,True
926,611,True
919,675,True
933,714,False
931,727,False
930,728,False
929,730,False
927,728,False
935,701,False
923,618,False
917,529,False
921,459,False
907,413,False
914,394,False
917,390,False
921,382,False
926,382,False
930,381,False
934,378,False
938,380,False
940,381,False
944,383,False
945,388,False
947,387,False
951,390,False
950,388,False
947,391,False
947,392,False
941,391,False
910,385,False
876,377,False
841,364,False
801,357,False
762,351,False
727,345,False
689,333,False
638,328,False
596,319,False
582,321,False
563,323,False
549,327,False
537,327,False
525,329,False
512,330,False
501,333,False
500,328,False
495,327,False
489,322,False
487,318,False
482,316,False
478,314,False
471,305,False
463,308,False
460,307,False
461,310,False
463,312,False
457,316,False
458,321,False
459,320,False
458,323,False
462,329,False
463,328,False
456,327,False
435,324,False
415,321,False
398,311,False
380,300,False
363,293,False
342,281,False
318,272,False
300,260,False
284,250,False
281,242,False
276,235,False
273,234,False
268,233,False
261,233,False
257,224,False
238,212,False
212,204,False
193,198,False
172,192,False
151,183,False
128,175,False
110,168,False
94,161,False
80,163,False
81,166,False
89,169,False
93,168,False
100,170,False
113,173,False
125,174,False
134,174,False
146,170,False
159,170,False
178,172,False
193,170,False
204,171,False
214,170,False
223,169,False
236,164,False
242,160,False
247,163,False
249,161,False
242,161,False
237,161,False
235,164,False
234,160,False
226,161,False
223,165,False
221,168,False
216,168,False
213,167,False
210,166,False
205,168,False
198,169,False
191,172,False
186,174,False
178,181,False
180,185,False
181,186,False
188,187,False
196,187,False
206,187,False
221,187,False
229,188,False
241,190,False
248,185,False
247,188,False
252,193,False
268,192,False
306,187,False
350,175,False
397,164,False
445,154,False
496,142,False
544,132,False
595,123,False
643,115,False
676,112,False
686,113,False
694,119,False
691,118,False
690,119,False
685,119,False
682,121,False
682,119,False
680,116,False
674,115,False
674,112,False
670,107,False
675,108,False
673,107,False
670,106,False
665,105,False
652,103,False
610,110,False
570,117,False
531,123,False
488,129,False
443,134,False
404,141,False
365,149,False
327,153,False
296,160,False
301,157,False
304,156,False
305,155,False
308,159,False
311,162,False
312,165,False
331,165,False
421,165,False
508,163,False
594,163,False
678,163,False
761,165,False
851,162,False
943,160,False
1038,156,False
1119,157,False
1129,158,False
1145,160,False
1156,160,False
1169,159,False
1177,156,False
1183,152,False
1186,157,False
1187,162,False
1186,161,False
1181,160,False
1175,159,False
1171,160,False
1168,163,False
1167,166,False
1166,172,False
1167,171,False
1171,170,False
1180,171,False
1196,176,False
1210,178,False
1224,182,False
1239,186,False
1251,187,False
1264,192,False
1273,190,False
1284,190,False
1292,196,False
1296,196,False
1302,198,False
1310,196,False
1326,197,False
1348,201,False
1371,204,False
1399,212,False
1424,220,False
1445,224,False
1469,233,False
1489,235,False
1509,240,False
1520,243,False
1532,242,False
1541,238,False
1550,235,False
1558,231,False
1570,224,False
1582,216,False
1597,215,False
1609,214,False
1617,211,False
1624,214,False
1628,217,False
1631,217,False
1633,216,False
1633,216,False
1632,217,False
1628,216,False
1625,216,False
1622,214,False
1620,211,False
1620,212,False
1623,213,False
1625,213,False
1633,215,False
1647,216,False
1664,217,False
1682,220,False
1701,228,False
1718,232,False
1736,238,False
1749,243,False
1764,251,False
1774,255,False
1780,261,False
1782,270,False
1783,272,False
1785,271,False
1788,273,False
1792,271,False
1797,272,False
1800,271,False
1800,274,False
1800,277,False
1800,273,False
1800,276,False
1800,276,False
1800,273,False
1800,277,False
1800,278,False
1800,280,False
1800,285,False
1763,298,False
1711,322,False
1660,337,False
1609,348,False
1560,352,False
1504,354,False
1452,361,False
1400,366,False
1362,366,False
1358,364,False
1360,350,False
1367,346,False
1374,348,False
1375,358,False
1382,363,False
1385,368,False
1387,371,False
1384,375,False
1375,374,False
1365,376,False
1352,373,False
1337,372,False
1324,369,False
1310,374,False
1296,375,False
1282,379,False
1272,381,False
1260,382,False
1250,383,False
1240,384,False
1231,384,False
1220,385,False
1209,390,False
1199,391,False
1192,392,False
1183,393,False
1177,393,False
1153,408,False
1137,456,False
1123,521,True
1122,584,False
1122,636,False
1116,671,False
1098,694,False
1085,714,False
1071,736,False
1078,747,False
1077,723,False
1075,682,False
1060,637,False
1047,602,False
1033,582,False
1039,580,False
1039,581,False
1044,580,False
1045,580,False
1047,583,False
1050,583,False
1047,590,False
1051,593,False
1055,595,False
1050,594,False
1049,593,False
1047,597,False
1042,597,False
1034,594,False
1029,594,False
1028,591,False
1018,589,False
1014,593,False
1010,641,True
1017,708,True
1026,765,True
1034,796,True
1036,816,False
1033,819,False
1028,821,False
1025,817,False
1026,806,False
1020,750,False
1005,678,False
986,617,False
974,581,False
966,553,False
959,546,False
957,538,False
956,533,False
946,529,False
947,525,False
948,521,False
949,510,False
946,503,False
950,501,False
958,501,False
962,497,False
959,497,False
970,497,False
978,486,False
981,471,False
988,457,False
996,439,False
1003,421,False
1008,399,False
1015,381,False
1027,365,False
1029,349,False
1028,339,False
1029,333,False
1026,331,False
1024,329,False
1019,329,False
1015,326,False
1014,323,False
1010,325,False
1007,335,False
1005,350,False
1002,367,False
999,383,False
998,389,False
996,387,False
996,382,False
991,379,False
991,367,False
990,349,False
983,339,False
980,325,False
981,314,False
980,314,False
977,323,False
972,346,False
966,367,False
958,387,False
951,410,False
947,425,False
944,438,False
939,452,False
932,462,False
927,473,False
918,478,False
918,480,False
917,485,False
916,488,False
919,489,False
914,489,False
916,483,False
924,474,False
935,462,False
951,444,False
957,430,False
969,415,False
980,399,False
993,388,False
1012,377,False
1027,368,False
1036,361,False
1041,356,False
1041,354,False
1045,347,False
1041,341,False
1027,337,False
983,331,False
936,330,False
886,326,False
837,327,False
788,325,False
742,320,False
698,320,False
661,321,False
632,321,False
614,322,False
598,319,False
585,325,False
577,324,False
568,325,False
555,328,False
540,333,False
515,334,False
489,333,False
474,334,False
462,337,False
441,336,False
422,332,False
402,331,False
379,335,False
361,333,False
349,336,False
340,343,False
335,346,False
331,346,False
332,345,False
328,352,False
323,361,False
326,363,False
323,370,False
321,376,False
316,377,False
312,379,False
303,380,False
291,387,False
283,389,False
274,388,False
262,391,False
257,389,False
247,390,False
244,387,False
239,384,False
236,386,False
236,381,False
232,381,False
230,380,False
236,375,False
237,376,False
238,373,False
236,378,False
237,379,False
233,378,False
232,376,False
231,374,False
227,374,False
222,374,False
217,370,False
219,365,False
218,362,False
214,360,False
220,357,False
222,361,False
252,406,True
314,475,True
367,531,True
419,567,False
459,590,False
499,609,False
541,626,False
582,647,False
622,660,False
636,627,False
626,567,False
621,526,False
617,503,False
624,492,False
628,483,False
630,480,False
630,473,False
631,471,False
630,472,False
625,474,False
618,474,False
616,475,False
606,475,False
599,478,False
594,474,False
589,474,False
583,468,False
578,463,False
570,459,False
566,462,False
555,461,False
557,465,False
559,467,False
566,467,False
574,467,False
587,471,False
596,520,True
626,597,True
657,658,True
692,718,True
722,786,True
755,857,True
772,917,True
770,947,True
742,957,False
704,909,False
651,823,False
594,741,False
545,665,False
507,591,False
468,512,False
439,454,False
429,425,False
440,411,False
463,410,False
482,419,False
504,431,False
502,430,False
485,411,False
466,396,False
451,375,False
430,353,False
418,340,False
403,327,False
391,316,False
378,306,False
381,305,False
386,311,False
390,314,False
381,312,False
366,313,False
350,306,False
337,302,False
324,295,False
324,288,False
318,284,False
315,281,False
298,327,True
332,405,True
391,494,True
441,573,True
464,623,True
472,648,False
460,663,False
461,664,False
463,659,False
482,602,False
460,526,False
425,432,False
391,349,False
384,295,False
391,265,False
406,245,False
413,241,False
418,238,False
420,241,False
424,237,False
427,239,False
429,244,False
436,243,False
442,242,False
451,246,False
464,245,False
472,245,False
480,245,False
493,246,False
506,250,False
521,247,False
548,250,False
582,254,False
615,256,False
644,260,False
676,270,False
709,279,False
735,281,False
759,280,False
784,282,False
796,285,False
799,291,False
785,330,False
791,410,True
784,460,True
786,486,False
784,503,False
783,516,False
776,530,False
771,538,False
768,545,False
780,515,False
775,445,False
782,403,False
776,383,False
774,378,False
765,386,False
759,398,False
752,411,False
745,425,False
735,444,False
721,460,False
715,476,False
707,493,False
701,510,False
704,518,False
716,574,True
737,652,True
750,718,True
758,722,False
758,726,False
752,728,False
756,726,False
754,731,False
752,727,False
743,676,False
721,607,False
705,547,False
703,546,False
707,541,False
707,541,False
704,541,False
704,542,False
704,549,False
703,549,False
704,545,False
711,542,False
712,539,False
713,541,False
711,530,False
711,516,False
711,495,False
739,490,False
766,493,False
795,498,False
825,505,False
854,513,False
867,550,True
905,634,True
921,727,True
941,820,True
944,892,True
927,885,False
911,872,False
889,857,False
866,838,False
862,794,False
845,720,False
844,639,False
843,556,False
831,485,False
840,486,False
849,489,False
857,493,False
867,500,False
877,504,False
878,500,False
877,497,False
881,498,False
883,490,False
883,487,False
883,482,False
883,480,False
883,468,False
885,453,False
891,439,False
896,426,False
903,417,False
901,420,False
901,423,False
899,427,False
903,430,False
897,440,False
897,450,False
893,465,False
890,478,False
886,479,False
888,460,False
893,441,False
895,423,False
901,490,True
912,563,True
925,634,True
927,685,True
935,715,False
924,730,False
921,754,False
907,776,False
896,795,False
876,730,False
863,662,False
843,602,False
834,556,False
824,537,False
831,536,False
827,534,False
835,535,False
835,536,False
842,539,False
842,540,False
841,537,False
844,534,False
848,534,False
849,532,False
857,537,False
856,539,False
864,544,False
869,545,False
872,538,False
877,521,False
884,507,False
883,481,False
879,462,False
878,433,False
874,410,False
871,383,False
870,361,False
867,342,False
864,333,False
861,325,False
864,325,False
870,322,False
869,324,False
874,319,False
880,320,False
882,320,False
891,324,False
901,329,False
907,332,False
917,334,False
934,345,False
959,353,False
984,371,False
1004,378,False
1019,379,False
1034,384,False
1044,392,False
1053,397,False
1056,398,False
1053,397,False
1041,395,False
1025,388,False
996,393,False
977,410,False
957,426,False
939,440,False
923,456,False
905,474,False
898,489,False
893,504,False
892,520,False
906,531,False
914,534,False
920,535,False
921,536,False
933,541,False
945,544,False
941,543,False
937,540,False
929,541,False
921,537,False
916,533,False
920,536,False
921,531,False
910,523,False
900,505,False
904,496,False
905,489,False
908,476,False
913,468,False
917,458,False
912,439,False
913,425,False
918,414,False
923,414,False
917,409,False
921,407,False
928,407,False
929,407,False
934,408,False
937,406,False
945,408,False
949,409,False
952,408,False
957,413,False
954,414,False
955,408,False
960,404,False
965,401,False
955,404,False
941,400,False
927,393,False
915,388,False
901,377,False
903,372,False
898,371,False
893,368,False
886,364,False
